epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,514.602,0.91385,0.91015,1.05515,0.90574,0.83618,0.90299,0.68333,0.94848,0.68414,1.04861,0.000148525,0.000148525,0.000148525
43,526.716,0.90058,0.8963,1.05029,0.93198,0.84361,0.91,0.67863,0.93889,0.666,1.04801,0.00014605,0.00014605,0.00014605
44,538.857,0.92597,0.93406,1.06453,0.91049,0.84466,0.9025,0.66306,1.00609,0.70727,1.06914,0.000143575,0.000143575,0.000143575
45,550.976,0.92413,0.9144,1.05979,0.90938,0.85268,0.91244,0.66457,1.00566,0.69183,1.07585,0.0001411,0.0001411,0.0001411
46,562.989,0.91993,0.90396,1.05724,0.93015,0.84949,0.90914,0.66626,1.00514,0.67658,1.07674,0.000138625,0.000138625,0.000138625
47,575.067,0.88713,0.88872,1.04165,0.91881,0.84398,0.91384,0.68382,0.95183,0.6674,1.04264,0.00013615,0.00013615,0.00013615
48,587.226,0.89118,0.8937,1.05009,0.91538,0.84323,0.90909,0.68624,0.93217,0.67417,1.05238,0.000133675,0.000133675,0.000133675
49,599.307,0.88756,0.86748,1.04412,0.89102,0.86941,0.91427,0.69,0.93041,0.66197,1.05463,0.0001312,0.0001312,0.0001312
50,611.497,0.88875,0.86126,1.04132,0.90593,0.84465,0.91369,0.68358,0.95425,0.661,1.05213,0.000128725,0.000128725,0.000128725
51,623.582,0.87256,0.84326,1.03547,0.91282,0.85817,0.9166,0.68442,0.93074,0.65363,1.04056,0.00012625,0.00012625,0.00012625
52,635.665,0.87334,0.85628,1.03484,0.90828,0.8602,0.91444,0.6719,0.99466,0.67602,1.07482,0.000123775,0.000123775,0.000123775
53,647.802,0.87832,0.86316,1.04038,0.9425,0.83901,0.9099,0.68522,0.9442,0.65858,1.05311,0.0001213,0.0001213,0.0001213
54,659.807,0.88177,0.86878,1.0423,0.91729,0.84256,0.90912,0.68407,0.94114,0.65731,1.0469,0.000118825,0.000118825,0.000118825
55,671.905,0.87224,0.85477,1.03574,0.86621,0.88571,0.92358,0.68916,0.96342,0.64798,1.05669,0.00011635,0.00011635,0.00011635
56,684.097,0.85629,0.83696,1.02944,0.93328,0.83166,0.91877,0.69075,0.94597,0.65567,1.04405,0.000113875,0.000113875,0.000113875
57,696.236,0.86686,0.84652,1.03064,0.92145,0.85671,0.92349,0.70333,0.91152,0.63633,1.02609,0.0001114,0.0001114,0.0001114
58,708.481,0.87113,0.83135,1.03256,0.9161,0.8563,0.91549,0.69293,0.93974,0.65078,1.04808,0.000108925,0.000108925,0.000108925
59,720.569,0.85953,0.82133,1.02379,0.93015,0.83774,0.92057,0.69109,0.93399,0.63938,1.04029,0.00010645,0.00010645,0.00010645
60,732.575,0.84517,0.82324,1.02105,0.9081,0.83446,0.92516,0.69178,0.95023,0.65158,1.04838,0.000103975,0.000103975,0.000103975
61,744.771,0.84977,0.82069,1.02385,0.90494,0.866,0.92828,0.69834,0.93676,0.62942,1.04781,0.0001015,0.0001015,0.0001015
62,756.858,0.84455,0.81446,1.01821,0.91678,0.85241,0.9179,0.69593,0.92575,0.63406,1.03969,9.9025e-05,9.9025e-05,9.9025e-05
63,768.872,0.83609,0.80953,1.02195,0.92747,0.85581,0.92325,0.69839,0.94373,0.63797,1.04232,9.655e-05,9.655e-05,9.655e-05
64,780.966,0.84255,0.81708,1.03067,0.89556,0.86752,0.91093,0.69153,0.92052,0.63481,1.03862,9.4075e-05,9.4075e-05,9.4075e-05
